,Epi,Endo,Fibro,Peri,SmoothMuscle,Macro,Mono,DC,TCD4,TCD8,Tgd,NK,B,Plasma,Mast,Granulo
VCAN,0.005590793983207296,0.07093897696047423,1.282468288569836,0.2890791973977626,0.02253843166181715,0.2065533194062283,1.5805066888233419,0.04345054618457364,0.003858906799742075,0.004726141973133944,0.0017595858282395155,0.004585593839720271,0.0013753973781247993,0.0027866018660085527,0.002718578204015374,0.002417744205693626
VEGFA,0.29630530761335055,0.0349207196942125,0.2889951427264802,0.09825983697869652,0.08029686033321418,0.2742504082229137,0.9473812338251435,0.14166841813598208,0.013596693568045107,0.015234581352572753,0.011642430511388285,0.019181192369676348,0.0083918358011497,0.027609625723928676,0.2011776527937603,1.0024646363472278
VTN,0.002264918940336691,0.0003828397191933543,0.006220050322036092,0.005162340547434891,0.004491492475903049,0.010365769272049003,0.0006799089536761966,0.014218907135611084,5.440194580822655e-05,8.093506764373005e-05,0.0,0.0,0.0,5.843522834254775e-05,0.0,0.0
VSIG4,0.0012627944922852092,0.002330826728129663,0.0017433940211742834,0.0014993782202888518,0.0,0.7084131266038042,0.17271944575361992,0.12596830744880516,0.0017212071179676775,0.001692125316733463,0.0016220970867471178,0.0026766366099369417,0.001455249624295797,0.0013357633917241481,0.0022994767055916276,0.001407160954039195
CXCL10,0.01765031758195832,0.025480213496130572,0.05496648182776312,0.05089890536312911,0.008342418216894626,0.3374854476189754,0.23316682366663177,0.099658186099959,0.006437922113819087,0.0097655725910241,0.004088957387832729,0.004472467192767766,0.004512927014616326,0.004833765177495093,0.00539541235505135,0.009523846099054855
CXCL13,0.004673818605614027,0.0033285805038417216,0.026068725300565664,0.002138631835790433,0.0011175877301747962,0.03296893978104436,0.03551159430991725,0.04309005051488827,0.3456146411688319,1.2706295079540213,0.11626821976765805,0.012624137774979269,0.008253319681738496,0.012489346869487971,0.010026278434707317,0.006226479135773477
MEIS2,0.021528341769471254,0.21920918503455908,0.22863873003794175,0.1854296583782705,0.1270039012412604,0.0010479997394944752,0.0007489223732878901,0.0008809653482745524,0.0002780667722272211,0.0005612399139588931,0.0008419448536849303,0.0008303538985615066,0.002618241299124219,0.0031716560485636476,0.18957102959135358,0.00108180517972204
ZNF532,0.009926428751533484,0.15084734921657494,0.13134922773350427,0.2089215107435383,0.09119754366418097,0.03534342635919895,0.014911664371774899,0.026384397449731496,0.005388736048936842,0.004742406733999262,0.0013683058817797163,0.004180459647055192,0.038120510925326034,0.016711309800709097,0.0016966224614285166,0.0017830514463720133
FLT1,0.003992703483471768,1.0829166547333808,0.029995206578483282,0.07279443951049723,0.00565386310551552,0.04804774180968648,0.18796020452750087,0.03986249216033249,0.007069405438039445,0.007448474634179359,0.0030285833270459845,0.005143430792870818,0.005428622201853158,0.001880901680914975,0.001244157555343107,0.09630064967529135
KDR,0.0005268209168252674,0.6913879018476673,0.0035211972789145835,0.005198498943631361,0.0,0.000535729214726132,0.00044079697694174254,0.0007289839739053642,0.000550559963678779,5.152018511798421e-05,0.0006243285477288812,0.0010908924327553864,0.0004221939280115784,0.0004101297156192624,0.00043759817592158295,0.0
NOTCH4,0.006459963686284544,0.7972917615794192,0.016548460632655426,0.049891095480422906,0.017543855561443233,0.015613032445635118,0.013952895418770407,0.07664271446334267,0.0032865402650084875,0.002763960491911084,0.0033836638033052724,0.00443925555919955,0.019166101182692897,0.0038135728909704605,0.008404831775167784,0.002547891297363031
PDGFRB,0.0024061677826598235,0.11818229614338832,0.5763032471966297,1.793781807365724,1.0388991348082965,0.003617569670240536,0.003154904703743173,0.01897625568800652,0.001324403196569339,0.013904154291574938,0.02424119804662604,0.04214430345600739,0.0019478519488186302,0.0010589744498073284,0.0005805854729804733,0.0
CXCR3,0.014964750361859906,0.001191804026980038,0.0008734968676254446,0.0010226029955987864,0.0,0.006862746763564772,0.005611446381555041,0.2737068315870822,0.1627438112691738,0.28027754401294425,0.1670444436358253,0.1493834182142555,0.02070455572023134,0.021794263042980426,0.002683354600569523,0.0
CXCR5,0.0004217767851513577,0.0009145210972329891,0.001687135976082521,0.0015763121731732605,0.0012789878984149272,0.0011943375610633192,0.001823548957043077,0.003973062343697198,0.026446701226733458,0.008960875921690953,0.0026210307786685683,0.0015933593800112424,0.1584163965027112,0.0028077156603236713,0.002402855028629129,0.0006233484030229239
NOTCH1,0.09754289751185191,0.37719728410812414,0.07537947266241031,0.20274810226288664,0.0339099468131432,0.07900175548202375,0.06915392644121555,0.03606321815630495,0.044315053290747496,0.07976145967921415,0.06835076127935118,0.10180723050835751,0.032507841694872336,0.010958708111267753,0.018085713144510022,0.08367219185078209
NOTCH2,0.07558082673767955,0.01353126397560831,0.22784719488128072,0.1805077966176803,0.149123893361949,0.1481726808996433,0.23361289098861404,0.15983825543082109,0.06045687974918812,0.06283658599822729,0.04196064253077062,0.05678770956479112,0.05972160003269662,0.029241695233467386,0.07567020873804008,0.11889442895224016
NOTCH3,0.0036538413558005263,0.11042354518648742,0.13766724255317506,1.7388919545725876,1.4227515613317405,0.006705402517464717,0.006851091565208437,0.005767475850830701,0.0014128958192998534,0.0010779541176607565,0.000776787167308635,0.002741647502479939,0.0009090833586285523,0.000712483873381281,0.001335266754172293,0.0010850016580171724
