,ImmuneSignature,StromalSignature,ESTIMATEScore
TCGA-DM-A28H-01,324.1263086042418,-564.3937153984807,-240.26740679423892
TCGA-DM-A28K-01,908.3644761134728,-696.2166135537627,212.14786255971012
TCGA-DM-A28M-01,678.9208976430818,-1608.6174078629228,-929.696510219841
TCGA-DT-5265-01,2390.039715780158,2432.8059373330525,4822.845653113211
TCGA-DY-A0XA-01,942.9630399911384,115.54284226099662,1058.505882252135
TCGA-DY-A1DC-01,1648.6257693996704,1082.748967243444,2731.3747366431144
TCGA-DY-A1DD-01,525.6134764298258,-235.21841977505028,290.39505665477554
TCGA-DY-A1DE-01,1871.271815615104,849.0475683568238,2720.319383971928
TCGA-DY-A1DF-01,515.9969113916904,220.38814347140215,736.3850548630926
TCGA-DY-A1DG-01,483.90394258936067,-1654.8698708560441,-1170.9659282666835
TCGA-DY-A1H8-01,402.62529970961623,-1826.7122506964606,-1424.0869509868444
TCGA-EF-5830-01,1344.7634099460793,-86.70914410494879,1258.0542658411305
TCGA-EF-5831-01,1733.340751774118,1563.7619171209953,3297.1026688951133
TCGA-EI-6506-01,2595.944408864103,765.1123478110985,3361.0567566752015
TCGA-EI-6507-01,3418.553665739435,2074.389997710474,5492.943663449909
TCGA-EI-6508-01,1119.6336937532978,507.4208216679217,1627.0545154212195
TCGA-EI-6509-01,795.2192057533593,788.5765759882088,1583.7957817415681
TCGA-EI-6510-01,1484.6423371291257,-1264.4937404188167,220.148596710309
TCGA-EI-6511-01,4146.624744617417,2312.863954790935,6459.488699408352
TCGA-EI-6512-01,1912.0311765485476,484.07115829473514,2396.1023348432827
TCGA-EI-6513-01,1538.5468915801375,681.6168829571816,2220.163774537319
TCGA-EI-6514-01,1566.4239125205477,1472.0615993510255,3038.485511871573
TCGA-EI-6881-01,1726.7869177048487,-133.95247405013106,1592.8344436547177
TCGA-EI-6882-01,2173.2062352611647,553.2567987827988,2726.4630340439635
TCGA-EI-6883-01,1871.9099853692624,247.7573395240779,2119.6673248933403
TCGA-EI-6884-01,2873.571416758259,1824.9004854142368,4698.471902172496
TCGA-EI-6885-01,2494.624481892819,2134.599987561942,4629.224469454761
TCGA-EI-6917-01,3948.3932067794194,2826.3481961169036,6774.741402896323
TCGA-EI-7002-01,1760.3519844590974,1555.3694954132534,3315.7214798723508
TCGA-EI-7004-01,3444.4534975691404,4778.267898608799,8222.72139617794
TCGA-F4-6459-01,1919.2239684442084,2708.631174542581,4627.855142986789
TCGA-F4-6460-01,1973.870261442984,1911.5747435041376,3885.4450049471216
TCGA-F4-6461-01,2507.577020836796,1981.0021135894058,4488.579134426202
TCGA-F4-6463-01,1714.9398018524462,1973.001257037933,3687.9410588903793
TCGA-F4-6569-01,3261.070833634976,4077.450907829203,7338.521741464179
TCGA-F4-6570-01,4297.830828068223,2848.960173036843,7146.791001105066
TCGA-F4-6703-01,5662.778363469011,5081.3979959252865,10744.176359394298
