,ImmuneSignature,StromalSignature,ESTIMATEScore
GSM437189,4558.538117404301,3446.83330263075,8005.371420035051
GSM437190,4776.552311824826,4018.465392547332,8795.017704372158
GSM437191,4478.817643403854,2824.34533246114,7303.162975864994
GSM437192,3480.6068112593075,3203.4218729952245,6684.028684254532
GSM437193,5278.258832727588,2490.923822627221,7769.182655354809
GSM437194,2757.014495307021,1262.755540906608,4019.7700362136293
GSM437195,4181.569964701914,2984.9787304419333,7166.548695143847
GSM437196,4867.346967712756,2248.1489100691706,7115.4958777819265
GSM437197,3491.943677906571,2441.6353521513975,5933.579030057968
GSM437198,5438.506768358264,4144.6212638437355,9583.128032202
GSM437199,5463.7346984216965,4673.558357876542,10137.293056298238
GSM437200,4143.105927436061,3584.1029705094406,7727.208897945502
GSM437201,5520.862341515303,5901.9914916158705,11422.853833131174
GSM437202,4694.125054924722,3314.1032497822325,8008.228304706954
GSM437203,6879.006104166236,3528.9952347519375,10408.001338918173
GSM437204,5049.708829064699,5330.155740466103,10379.864569530802
GSM437205,5092.838794102045,3242.676989565345,8335.51578366739
GSM437206,3000.363377469961,2444.093690082291,5444.457067552252
GSM437207,3810.78433395876,2643.4195491301034,6454.203883088863
GSM437208,3286.63088161427,1853.4444874202509,5140.075369034521
GSM437209,7266.9985617922775,3864.6630307101623,11131.66159250244
GSM437210,4883.16371838343,3220.5633528256276,8103.727071209058
GSM437211,5914.2220928130155,3415.8762147745183,9330.098307587534
GSM437212,5804.525647118946,2021.193276838685,7825.718923957631
GSM437213,3880.7850234424714,1895.554268461232,5776.339291903703
GSM437214,4890.645461337499,3574.9016965748397,8465.547157912339
GSM437215,5327.20086373236,2942.023447117692,8269.224310850052
GSM437216,3273.5135031721074,1037.324432864716,4310.8379360368235
GSM437217,4380.388767981318,1462.6366123942098,5843.025380375528
GSM437218,3381.0590713128713,1536.1213859518484,4917.18045726472
GSM437219,4708.882303160461,1239.5696752452677,5948.451978405728
GSM437220,5565.857307934919,2734.1719074380235,8300.029215372942
GSM437221,4868.28910544437,2523.7647663051557,7392.053871749526
GSM437222,5847.867674776404,4907.430089995893,10755.297764772296
GSM437223,5666.749648292422,4361.825296524912,10028.574944817334
GSM437224,4495.034460051746,2375.1805392905917,6870.214999342337
GSM437225,6275.027001252351,3606.8491695908706,9881.876170843221
GSM437226,7709.949467137934,6224.017796087508,13933.967263225442
GSM437227,5002.853543655254,2983.9225950068994,7986.776138662153
GSM437228,3611.5071822139307,1663.967988413473,5275.475170627404
GSM437229,5944.819994593001,2967.303409478116,8912.123404071117
GSM437230,2521.1975425343553,512.0929696178209,3033.2905121521762
GSM437231,3517.1726391970205,3133.578232816959,6650.7508720139795
GSM437232,3304.1132299253713,1624.4601928939628,4928.573422819334
GSM437233,4031.4359004824782,3225.078341642655,7256.514242125133
GSM437234,4990.902380172371,4300.882030122575,9291.784410294946
GSM437235,4638.6927126698265,4019.839371785849,8658.532084455675
GSM437236,2967.3886376773244,1415.1330016324373,4382.521639309762
GSM437237,3520.931562953816,2175.7845294038652,5696.716092357681
GSM437238,3798.3503818127374,2555.25796117913,6353.608342991867
GSM437239,3903.852325618831,2917.4866373969962,6821.338963015827
GSM437240,3369.038102123932,2001.8377420610577,5370.87584418499
GSM437241,3505.076696254244,3101.0024200954012,6606.079116349645
GSM437242,3012.0399740897483,2663.568295659281,5675.608269749029
GSM437243,3954.1245875383447,3287.394877526167,7241.519465064512
GSM437244,2562.393522257453,2155.0150788573046,4717.408601114757
GSM437245,4346.488844449559,2713.441047389879,7059.929891839438
