TF,n,spearman_rho,p,is_signature_gene,p_fdr_bh,significant_fdr01
ZNF641,380,0.41793942617404983,1.693709099119947e-17,False,2.0014211339218913e-16,True
KLF7,380,0.4169813605679752,2.0385547369192965e-17,False,2.3906687369326293e-16,True
ZNF366,380,0.41564754105387436,2.6359896716790638e-17,False,3.0680541441798423e-16,True
ZNF436,380,0.4156030357207546,2.658640314994764e-17,False,3.0713247817999216e-16,True
RORB,380,0.41479476257653725,3.104907123598947e-17,False,3.5602935017267924e-16,True
FOXF1,380,0.41442786597362663,3.3310276923379685e-17,False,3.791493285102335e-16,True
CDX1,380,-0.4125844925448111,4.735877086824438e-17,False,5.351195423652722e-16,True
SOX10,380,0.41187202893850544,5.4226803988108103e-17,False,6.082832795187778e-16,True
MXD3,380,-0.4102210913628611,7.412419605903693e-17,False,8.254982410027998e-16,True
VAX2,380,0.40953008291034054,8.444123189674377e-17,False,9.336787641154239e-16,True
EGR2,380,0.4067050646750303,1.4340607275108382e-16,False,1.574415607224665e-15,True
HEY1,380,0.4047239798130264,2.07286160624174e-16,False,2.2597111031424037e-15,True
ZNF568,380,0.4042800732707985,2.2504872505911276e-16,False,2.436191792947598e-15,True
KCNIP3,380,0.403927387560727,2.4021898649985337e-16,False,2.5823541048734236e-15,True
NR2F1,380,0.4013562436366534,3.855939084552932e-16,False,4.116547381302027e-15,True
ZNF609,380,0.4013126152074942,3.8868898548248473e-16,False,4.121168147444427e-15,True
TCF21,380,0.4004583794069587,4.54445510913353e-16,False,4.785589461863064e-15,True
BCL6,380,0.3997353382633077,5.185416927573839e-16,False,5.42366581343534e-15,True
ZNF382,380,0.3991935058392345,5.723121363314488e-16,False,5.945900584168341e-15,True
NPAS4,380,0.3974284038351579,7.882760567118072e-16,False,8.13500890526585e-15,True
GTF2I,380,0.3961965193654924,9.845304667276659e-16,False,1.0093067301287596e-14,True
TET1,380,0.3945397728147763,1.3257021856101398e-15,False,1.3501230153450634e-14,True
ASH1L,380,0.3923700819784728,1.9524317674520366e-15,False,1.9754015529514723e-14,True
ZNF333,380,0.3917257355962753,2.189114623342298e-15,False,2.2004866473596607e-14,True
ARNT,380,0.3915598366402434,2.2544738523518237e-15,False,2.2515648538326598e-14,True
EMX2,380,0.39145410530649266,2.2971234786497812e-15,False,2.279453298044783e-14,True
CENPA,380,-0.3911511012664082,2.423780189008611e-15,False,2.3898163901817388e-14,True
ZBTB16,380,0.39049436907146273,2.722266927195805e-15,False,2.6671324071513333e-14,True
ZNF853,380,0.3898603266281002,3.044520242518164e-15,False,2.964098953093156e-14,True
KLF12,380,0.3878939048324282,4.30076173390057e-15,False,4.160986977548802e-14,True
REST,380,0.3874458749028421,4.651437047459465e-15,False,4.472313384762268e-14,True
ARID5B,380,0.3873683732187969,4.714878785971045e-15,False,4.505328617705665e-14,True
PRRX2,380,0.3855844698600598,6.4337331793014605e-15,False,6.110072982551325e-14,True
CSRNP2,380,0.38468090839110536,7.525319099933326e-15,False,7.103167052863896e-14,True
CREB1,380,0.3806522646404843,1.5046705717845668e-14,False,1.411654572801521e-13,True
NCOA2,380,0.3786471516978243,2.1167554271688743e-14,False,1.9739381935285648e-13,True
ZBTB20,380,0.37825409888866063,2.2626007975916083e-14,False,2.0973090027974906e-13,True
ARNT2,380,0.3779371899967243,2.3873214294092014e-14,False,2.1997461742413357e-13,True
ZNF483,380,0.3777934517210858,2.44608701702764e-14,False,2.2405578120466195e-13,True
ZNF474,380,0.3774261290993593,2.6027761405719336e-14,False,2.3700573327090314e-13,True
ZMAT4,380,0.3772450674398649,2.6835884178102914e-14,False,2.429353725596685e-13,True
AHDC1,380,0.3763914729556071,3.098898680801614e-14,False,2.7890088127214526e-13,True
ZKSCAN1,380,0.37498756171863334,3.922733892637082e-14,False,3.510053217226707e-13,True
ZNF671,380,0.3749182431710776,3.968543512468321e-14,False,3.530635262816644e-13,True
ZFAT,380,0.3715306745131055,6.97561080784561e-14,False,6.170426017454288e-13,True
FOXD3,380,0.369384367446545,9.938050110376938e-14,False,8.740966801626988e-13,True
FLI1,380,0.3685169147735564,1.1457891391178827e-13,False,1.0020799928556397e-12,True
CSRNP3,380,0.36832830307802916,1.1817297043487473e-13,False,1.0277065069280117e-12,True
ESR1,380,0.3682277906131871,1.2013310097889546e-13,False,1.0389164263426266e-12,True
HOXC4,380,0.36657246106710584,1.573864604442111e-13,False,1.3535235598202154e-12,True
ZNF750,380,0.3660463029970935,1.714400901049867e-13,False,1.4662390026658531e-12,True
TBX15,380,0.3652937938858562,1.9369528026338073e-13,False,1.6474741420204031e-12,True
TSHZ1,380,0.3623684624469049,3.103588128462203e-13,False,2.6253302857155685e-12,True
ETS1,380,0.3614670651206607,3.5853633787932493e-13,False,3.01638179911519e-12,True
SOX18,380,0.3606147471772817,4.1077946515504614e-13,False,3.4372249300541157e-12,True
ATF2,380,0.35867437953149567,5.590405406858231e-13,False,4.652659983772334e-12,True
HOXB2,380,0.35674471566412636,7.579484253117645e-13,False,6.274353809532681e-12,True
ZFP92,380,0.3558128346693671,8.773246061420505e-13,False,7.223928139935607e-12,True
BBX,380,0.3533765315695068,1.2830607150579123e-12,False,1.0508878237617187e-11,True
ZNF296,380,-0.3529225682949606,1.3767399734162337e-12,False,1.1216807783412261e-11,True
FOXF2,380,0.35272054772944933,1.4205473937131159e-12,False,1.1513127567894781e-11,True
STAT5B,380,0.3526306521151554,1.4404761240898597e-12,False,1.1613838750474495e-11,True
PRDM2,380,0.35245834868966075,1.4794401853654236e-12,False,1.1866183455677075e-11,True
SALL4,380,0.3519864620675883,1.5914994345681721e-12,False,1.2699181055214074e-11,True
BPTF,380,0.35148986590608006,1.7183787993555095e-12,False,1.364128400719143e-11,True
ZNF625,380,0.35039215695909515,2.0349212223701475e-12,False,1.607172475627035e-11,True
ZNF304,380,0.3501228094875436,2.1209060416423846e-12,False,1.6665799758692443e-11,True
BNC1,380,0.34976793805613127,2.2396295788557182e-12,False,1.7509831252871978e-11,True
E2F1,380,-0.34965688979690296,2.2780972640764465e-12,False,1.772107821502683e-11,True
NFATC1,380,0.3486481471337603,2.6584203034937618e-12,False,2.057617314904172e-11,True
ZSCAN23,380,0.3475259226038412,3.1545449472985554e-12,False,2.4294704370239618e-11,True
ZNF407,380,0.345224147720993,4.471306652190375e-12,False,3.426526087916188e-11,True
E2F2,380,-0.34447879800481074,5.00294996754545e-12,False,3.815057413675053e-11,True
TBX2,380,0.3439596254083663,5.409229597699882e-12,False,4.1046506947252046e-11,True
SOX15,380,0.34327121861209303,5.9979279337358186e-12,False,4.5291670445966085e-11,True
PA2G4,380,-0.34323737719178454,6.028426374615588e-12,False,4.5300990426722966e-11,True
ZNF713,380,0.3431119696496385,6.142771232976652e-12,False,4.593724574226018e-11,True
ZSCAN18,380,0.34149735997201286,7.818118689703241e-12,False,5.8184844863752966e-11,True
