sample,cnv,expr_log2,cohort
TCGA-NH-A6GC-01,-1,8.814,COAD
TCGA-NH-A8F7-01,-1,7.727,COAD
TCGA-NH-A8F8-01,-1,9.353,COAD
TCGA-QG-A5YV-01,-1,8.549,COAD
TCGA-QG-A5YW-01,0,8.632,COAD
TCGA-QG-A5YX-01,-1,6.462,COAD
TCGA-QG-A5Z1-01,-1,8.854,COAD
TCGA-QG-A5Z2-01,0,7.841,COAD
TCGA-QL-A97D-01,-1,7.302,COAD
TCGA-RU-A8FL-01,-1,6.121,COAD
TCGA-SS-A7HO-01,-1,8.855,COAD
TCGA-T9-A92H-01,-1,8.259,COAD
TCGA-WS-AB45-01,0,10.87,COAD
TCGA-AF-2687-01,-1,10.33,READ
TCGA-AF-2690-01,-2,9.43,READ
TCGA-AF-2693-01,-1,8.156,READ
TCGA-AF-3911-01,-1,8.47,READ
TCGA-AF-4110-01,-1,8.685,READ
TCGA-AF-5654-01,0,7.438,READ
TCGA-AF-6136-01,-1,8.666,READ
TCGA-AF-6655-01,-1,9.269,READ
TCGA-AF-6672-01,-2,7.76,READ
TCGA-AF-A56K-01,-1,9.488,READ
TCGA-AF-A56L-01,-1,8.741,READ
TCGA-AF-A56N-01,-1,8.913,READ
TCGA-AG-3591-01,-1,7.398,READ
TCGA-AG-3592-01,-1,8.267,READ
TCGA-AG-3725-01,-1,8.429,READ
TCGA-AG-3731-01,-1,9.563,READ
TCGA-AG-3732-01,-1,8.527,READ
TCGA-AG-3742-01,-1,8.697,READ
TCGA-AG-3902-01,-1,8.925,READ
TCGA-AG-4021-01,-1,9.785,READ
TCGA-AG-4022-01,-1,8.764,READ
TCGA-AH-6544-01,-1,6.528,READ
TCGA-AH-6547-01,0,9.146,READ
TCGA-AH-6643-01,-1,10.12,READ
TCGA-AH-6644-01,-1,9.95,READ
TCGA-AH-6897-01,-1,7.015,READ
TCGA-AH-6903-01,0,8.395,READ
TCGA-BM-6198-01,-1,8.813,READ
TCGA-CI-6619-01,-1,9.119,READ
TCGA-CI-6620-01,-1,9.019,READ
TCGA-CI-6621-01,-1,9.058,READ
TCGA-CI-6622-01,-1,8.397,READ
TCGA-CI-6623-01,-1,7.888,READ
TCGA-CI-6624-01,-1,9.33,READ
TCGA-CL-4957-01,-1,7.821,READ
TCGA-CL-5917-01,-1,9.058,READ
TCGA-CL-5918-01,-1,7.221,READ
TCGA-DC-4745-01,-1,7.307,READ
TCGA-DC-4749-01,-1,7.499,READ
TCGA-DC-5337-01,-1,7.673,READ
TCGA-DC-5869-01,-1,8.091,READ
TCGA-DC-6154-01,-1,9.168,READ
TCGA-DC-6155-01,-1,6.477,READ
TCGA-DC-6156-01,-1,10.75,READ
TCGA-DC-6157-01,-1,8.314,READ
TCGA-DC-6158-01,-1,10.11,READ
TCGA-DC-6160-01,-1,8.658,READ
TCGA-DC-6681-01,-1,8.962,READ
TCGA-DC-6682-01,-1,8.396,READ
TCGA-DC-6683-01,-1,8.955,READ
TCGA-DT-5265-01,1,9.668,READ
TCGA-DY-A0XA-01,-1,8.304,READ
TCGA-DY-A1DC-01,-1,8.113,READ
TCGA-DY-A1DD-01,-1,8.095,READ
TCGA-DY-A1DE-01,-1,8.008,READ
TCGA-DY-A1DF-01,-1,8.157,READ
TCGA-DY-A1DG-01,-1,6.645,READ
TCGA-DY-A1H8-01,0,8.646,READ
TCGA-EF-5830-01,-1,7.969,READ
TCGA-EF-5831-01,-1,8.846,READ
TCGA-EI-6506-01,-1,8.265,READ
TCGA-EI-6507-01,0,9.576,READ
TCGA-EI-6508-01,-1,8.101,READ
TCGA-EI-6509-01,-1,10.13,READ
TCGA-EI-6510-01,-1,6.963,READ
TCGA-EI-6511-01,-1,8.879,READ
TCGA-EI-6512-01,-1,8.866,READ
TCGA-EI-6513-01,-1,9.407,READ
TCGA-EI-6514-01,-1,8.502,READ
TCGA-EI-6881-01,-1,7.73,READ
TCGA-EI-6882-01,0,8.215,READ
TCGA-EI-6883-01,-1,7.609,READ
TCGA-EI-6884-01,-1,8.832,READ
TCGA-EI-6885-01,-1,9.689,READ
