,Bcell_TLS,CD8T,Endothelial,Epithelial,Fibroblast,Macrophage_TAM,Pericyte
GSM437174,0.07583134358186377,0.03536423212415897,0.1503795552083069,0.37390737010606456,0.19296618709553115,0.09549246131385897,0.07605885057021582
GSM437175,0.05831974596041637,0.1294381026117227,0.197469471172833,0.2282496675338614,0.1825611636308137,0.12386329399423628,0.08009855509611663
GSM437176,0.19694967709898062,0.047137156130349266,0.25996310347017554,0.3277600078302675,0.08864234167396919,0.04237205757294446,0.03717565622331354
GSM437177,0.07891819385441584,0.08394455292210566,0.21614554427705474,0.3282685324483723,0.13184604898148042,0.05380757443247007,0.10706955308410107
GSM437178,0.10493425546566394,0.1254338559761171,0.16341359227987065,0.25406464544269913,0.15420829867945032,0.13743923966730645,0.0605061124888924
GSM437179,0.10691495238889089,0.10430048064020299,0.20488562937337376,0.3452874773014107,0.1150968242986771,0.04861869288051735,0.07489594311692728
GSM437180,0.06013125733806947,0.04036033594145246,0.28875614936465877,0.29048464210369496,0.1782745740519967,0.09088184611199077,0.05111119508813675
GSM437181,0.11285184366120232,0.10697010784497063,0.1702453002326583,0.24187241090124217,0.18755309058984898,0.10214808694579335,0.07835915982428414
GSM437182,0.05929905306910077,0.08639485424880321,0.13126518911358456,0.368787392044421,0.13453987816301954,0.10952618409887223,0.11018744926219874
GSM437183,0.08644615785040696,0.13566376631898058,0.15898064460187894,0.37454883963191893,0.08780223447416341,0.0850695512681584,0.07148880585449288
GSM437184,0.0922767828632144,0.0920889218132668,0.12088094825749202,0.4557040916040935,0.08816443397148431,0.10954084771872065,0.04134397377172829
GSM437185,0.1370735431899323,0.08250469247395005,0.23327479028953158,0.388987620515516,0.05802278417288224,0.04631220168073623,0.05382436767745179
GSM437186,0.10325518688980675,0.0749853129051293,0.21723880672067508,0.39724161639664834,0.07667034176250791,0.0620867952061317,0.068521940119101
GSM437187,0.08701869947361089,0.1244752150933631,0.14748346959750402,0.3846654640267672,0.11911093606282641,0.08635863662085153,0.05088757912507692
GSM437188,0.10398609143573868,0.09724021314503009,0.13774862523895498,0.31755962737844956,0.15902138070781757,0.10621658760346632,0.07822747449054272
GSM437189,0.0823703558179928,0.07056006873758278,0.1214544610756542,0.29504110411676154,0.20488397813757817,0.18080864608777822,0.04488138602665231
GSM437190,0.05337399005375839,0.053250564677809906,0.16785926823234432,0.30100890449537854,0.2233806779388054,0.12055094014505931,0.08057565445684421
GSM437191,0.11656833009363694,0.11563570940576141,0.15390807030267042,0.31768399827701066,0.1278834044112737,0.09435643893203538,0.07396404857761164
GSM437192,0.09896352655887092,0.041708995026399666,0.1839339941611766,0.30110729926228014,0.2406911096518044,0.0711282610446626,0.06246681429480571
GSM437193,0.05442750781922137,0.13757874335073145,0.18132446738936858,0.34243337245345234,0.09368522123625668,0.14196438300682343,0.0485863047441463
GSM437194,0.11702593205792555,0.05355013184635758,0.1711918809378031,0.4459753371439909,0.08883313126841684,0.054651293149765696,0.06877229359574029
GSM437195,0.10998492379925548,0.1030648505456737,0.14624155032698552,0.316126310751529,0.1697592817636782,0.09276098946119966,0.06206209335167858
GSM437196,0.10261124612569966,0.12091773730451526,0.13515067993928317,0.35899373220470254,0.11200241021811967,0.12471633064648048,0.045607863561199155
GSM437197,0.1154180532803187,0.05215292311666715,0.20145011311533548,0.34116246082808194,0.1850538736265404,0.04718955164869444,0.05757302438436181
