,spearman_rho
CCDC36,0.4815917950361239
LOC145820,0.4815813892655263
CDH13,0.481426089503123
PCYT1B,0.48136859955679867
PYGM,0.48114824066546547
TCTEX1D1,0.4810908853369215
HOPX,0.4809293903889276
NTRK3,0.4808110236228416
SGK269,0.48072417112191873
DCHS2,0.4806332512075314
OPRL1,0.4806316016457692
ABCA6,0.4803809332879388
KAL1,0.48022304005924016
NLGN4X,0.47979590746631945
RSPO3,0.4797441342457392
A4GALT,0.4795259840820834
PALMD,0.4795222618319474
FLT1,0.4795099312526285
ADAMTS18,0.4794392728300275
SOX17,0.479177545481666
SLC6A1,0.47917468083491505
LPAR4,0.47826928373113864
PTPN14,0.47823722462606283
PLXNB3,0.47817884804125943
TNS3,0.4781248679359689
DISP1,0.4780471450943825
IDS,0.4779560727118438
LOC728392,0.4778767100185236
CDH5,0.4777266577296476
DPT,0.47770198445335177
PDE1B,0.4776545755418679
TSPAN9,0.4774976356577546
DYSF,0.4773561174434816
AHNAK2,0.47724752789783603
CD248,0.4772117206156941
FAM171B,0.47714231947198
CRMP1,0.47691112032701916
SDPR,0.47667457823538195
SCN7A,0.4765534917645419
TCEAL2,0.47649646393016376
STOX2,0.4764929903608095
BACE1,0.4762732670834064
PLCL1,0.47620644074778673
PTCH2,0.47619021063551664
RGS4,0.47616786235811925
SEMA3G,0.47614986187129593
PCDHGA5,0.4759801459941468
MAP4K4,0.47582815145587226
MYO5A,0.4758003705525545
GRIN2A,0.4757253598484657
SRRM3,0.4756252132597076
CALCRL,0.47552206837726657
ITGB5,0.47545396018785924
IGSF21,0.47524581527755605
EBF1,0.4750378775624313
MEF2C,0.4749977009949245
MAFB,0.4747925099547479
TLL1,0.47439832254851316
VCL,0.4738974656756984
ODZ2,0.47378515295341056
NOVA2,0.4737259664320418
TUBB6,0.47361184897707415
PBX1,0.47339909159929633
KIFC3,0.4733662312832467
BACH2,0.47330302071910413
MAPK10,0.47323338469155024
STK32B,0.47321522980364533
SERINC1,0.4730665393973256
LRP1,0.47277321895416163
IQSEC3,0.4727053398542545
CLEC11A,0.4724075064471247
KCNJ8,0.47197697823205437
FABP4,0.47193977518253055
FAM168A,0.4713288507183452
CYYR1,0.4713176200893224
KIF3C,0.4711621617280731
RGS7BP,0.47110744128809035
SECISBP2L,0.47105980772549866
COX7A1,0.47087411789712896
CSMD2,0.47086213466757315
RUNX2,0.4707994214274106
SLITRK4,0.4704324524700769
PLEKHO2,0.4704137248164019
EDNRA,0.47024477870283965
ACTG2,0.47021966711381336
PDGFB,0.47011973145687974
MYCT1,0.47010075006728075
TMEM130,0.46976106239207843
GPX8,0.4697106288640096
SPSB4,0.46970560551460083
RORA,0.4696792655433053
SH3RF3,0.4696625802866272
JPH3,0.4696005248994907
TEK,0.46958811545748136
CTF1,0.46919888849570396
GALNT13,0.46908747605850015
STARD8,0.46903118234426483
LRRC17,0.4689735839761297
PMP22,0.46891349385056674
KLHDC8B,0.46887474020733727
C14orf37,0.46871427793548204
SLC12A6,0.468659211799536
NTN1,0.4686136674591288
PAPPA,0.4685848650321327
C9orf47,0.46851868226042953
MEF2A,0.4683811026146236
SMARCD3,0.46812192350860127
SAMD14,0.4675058410049505
RCAN2,0.46744751964615683
HAPLN4,0.4670537994976751
PLEKHM3,0.4669352066257088
ADAMTSL4,0.46685274470392496
GJA5,0.4667031518496881
FAM196A,0.4666170577478823
PRRX1,0.46654048839733986
C10orf10,0.4665114240149913
PHLDB1,0.46637709057127447
